Algorithm,InputType,InputSize,AvgTimeMillis,AvgMemoryMB,ValidRuns,Stable
QuickSort,Random,1000,2.4609,0.06,10,false
BubbleSort,Sorted,1000,0.0052,0.01,10,false
MergeSort,Random,1000,18.5080,0.77,10,true
TimSort,Random,1000,14.3127,0.63,10,true
CocktailShakerSort,Random,1000,14.5144,0.93,10,true
CombSort,Random,1000,5.3861,0.49,10,false
SelectionSort,Random,1000,11.2511,0.30,10,false
BubbleSort,Random,1000,11.1997,0.41,10,false
TournamentSort,Random,1000,6.1401,0.29,10,false
InsertionSort,Random,1000,6.3525,0.29,10,true
HeapSort,Random,1000,3.2217,5.65,10,false
IntroSort,Random,1000,3.4930,0.04,10,false
TimSort,Sorted,1000,0.5183,0.02,10,true
IntroSort,Sorted,1000,0.9637,0.01,10,false
TournamentSort,Sorted,1000,0.2898,0.01,10,false
CocktailShakerSort,Sorted,1000,0.0212,0.00,10,true
CombSort,Sorted,1000,0.0108,0.00,10,false
QuickSort,Sorted,1000,0.0137,0.00,10,false
HeapSort,Sorted,1000,1.9331,0.00,10,false
MergeSort,Sorted,1000,0.8761,0.04,10,true
SelectionSort,Sorted,1000,2.6257,0.06,10,false
InsertionSort,Sorted,1000,0.0062,0.00,10,true
TournamentSort,Reversed,1000,0.7097,0.01,10,false
CombSort,Reversed,1000,0.0230,0.00,10,false
QuickSort,Reversed,1000,0.0372,0.01,10,false
HeapSort,Reversed,1000,1.6543,0.00,10,false
BubbleSort,Reversed,1000,4.8530,0.01,10,false
SelectionSort,Reversed,1000,3.5982,0.02,10,false
MergeSort,Reversed,1000,1.5890,0.05,10,true
InsertionSort,Reversed,1000,1.3632,0.01,10,true
QuickSort,PartiallySorted,1000,0.2333,0.01,10,false
HeapSort,PartiallySorted,1000,1.5308,0.01,10,false
MergeSort,PartiallySorted,1000,2.9482,0.02,10,true
SelectionSort,PartiallySorted,1000,2.9279,0.01,10,false
BubbleSort,PartiallySorted,1000,3.8146,0.01,10,false
InsertionSort,PartiallySorted,1000,0.2438,0.00,10,true
TimSort,Reversed,1000,1.4213,0.03,10,true
CocktailShakerSort,Reversed,1000,6.6304,0.01,10,true
IntroSort,Reversed,1000,0.4730,0.01,10,false
TimSort,PartiallySorted,1000,0.4584,0.02,10,true
IntroSort,PartiallySorted,1000,0.4652,0.01,10,false
TournamentSort,PartiallySorted,1000,0.6901,0.01,10,false
CombSort,PartiallySorted,1000,0.4517,0.00,10,false
CocktailShakerSort,PartiallySorted,1000,0.7401,0.01,10,true
QuickSort,Random,5000,3.1870,0.04,10,false
HeapSort,Random,5000,5.0621,0.03,10,false
TournamentSort,Random,5000,4.4066,0.09,10,false
