Algorithm,InputType,InputSize,AvgTimeMillis,ValidRuns
MergeSort,Random,1000,0.2815,10
SelectionSort,Random,1000,2.0768,10
TournamentSort,Random,1000,1.0335,10
BubbleSort,Sorted,1000,0.0488,10
IntroSort,Random,1000,0.5437,10
TimSort,Random,1000,0.6185,10
CombSort,Random,1000,0.8102,10
QuickSort,Random,1000,0.5714,10
InsertionSort,Sorted,1000,0.0142,10
QuickSort,Sorted,1000,0.0243,10
SelectionSort,Sorted,1000,0.3564,10
HeapSort,Random,1000,0.3207,10
HeapSort,Sorted,1000,0.1453,10
MergeSort,Sorted,1000,0.1536,10
CocktailShakerSort,Sorted,1000,0.0269,10
InsertionSort,Random,1000,2.9480,10
IntroSort,Sorted,1000,0.0363,10
CombSort,Sorted,1000,0.1344,10
TimSort,Sorted,1000,0.1730,10
QuickSort,Reversed,1000,0.0443,10
MergeSort,Reversed,1000,0.0533,10
HeapSort,Reversed,1000,0.8669,10
CombSort,Reversed,1000,0.1302,10
IntroSort,Reversed,1000,0.0751,10
TimSort,Reversed,1000,0.1597,10
TournamentSort,Sorted,1000,2.4814,10
SelectionSort,PartiallySorted,1000,0.9834,10
MergeSort,PartiallySorted,1000,0.0632,10
TournamentSort,Reversed,1000,2.1188,10
SelectionSort,Reversed,1000,3.4434,10
QuickSort,PartiallySorted,1000,0.0296,10
InsertionSort,PartiallySorted,1000,1.6998,10
CombSort,PartiallySorted,1000,0.4245,10
IntroSort,PartiallySorted,1000,0.0665,10
InsertionSort,Reversed,1000,4.3350,10
TimSort,PartiallySorted,1000,0.0904,10
TournamentSort,PartiallySorted,1000,0.9028,10
HeapSort,PartiallySorted,1000,0.1477,10
CocktailShakerSort,PartiallySorted,1000,2.7336,10
CocktailShakerSort,Random,1000,10.2926,10
QuickSort,Random,5000,0.2874,10
CocktailShakerSort,Reversed,1000,6.2623,10
MergeSort,Random,5000,0.6708,10
CombSort,Random,5000,0.2541,10
TournamentSort,Random,5000,0.7615,10
HeapSort,Random,5000,2.9031,10
TimSort,Random,5000,0.8438,10
InsertionSort,Sorted,5000,0.0086,10
MergeSort,Sorted,5000,1.9362,10
InsertionSort,Random,5000,5.8216,10
QuickSort,Sorted,5000,0.1035,10
CocktailShakerSort,Sorted,5000,0.0355,10
CombSort,Sorted,5000,0.0553,10
BubbleSort,Sorted,5000,4.1228,10
IntroSort,Random,5000,4.4863,10
TournamentSort,Sorted,5000,0.6687,10
HeapSort,Sorted,5000,0.5440,10
IntroSort,Sorted,5000,0.2276,10
TimSort,Sorted,5000,0.1053,10
SelectionSort,Random,5000,10.5051,10
MergeSort,Reversed,5000,0.2207,10
HeapSort,Reversed,5000,0.3897,10
QuickSort,Reversed,5000,0.1809,10
CombSort,Reversed,5000,0.0989,10
TournamentSort,Reversed,5000,0.6692,10
IntroSort,Reversed,5000,0.3155,10
TimSort,Reversed,5000,0.1828,10
BubbleSort,Reversed,1000,21.1244,10
BubbleSort,Random,1000,25.2069,10
BubbleSort,PartiallySorted,1000,20.1321,10
InsertionSort,PartiallySorted,5000,0.9628,10
MergeSort,PartiallySorted,5000,0.3357,10
HeapSort,PartiallySorted,5000,0.4045,10
CocktailShakerSort,Random,5000,16.9897,10
QuickSort,PartiallySorted,5000,0.1839,10
CombSort,PartiallySorted,5000,0.2182,10
TournamentSort,PartiallySorted,5000,0.4168,10
IntroSort,PartiallySorted,5000,0.1717,10
SelectionSort,Sorted,5000,16.4256,10
TimSort,PartiallySorted,5000,1.0515,10
InsertionSort,Reversed,5000,12.4590,10
CocktailShakerSort,PartiallySorted,5000,2.7965,10
SelectionSort,Reversed,5000,14.0732,10
MergeSort,Random,10000,1.3357,10
HeapSort,Random,10000,1.0849,10
QuickSort,Random,10000,0.6392,10
CocktailShakerSort,Reversed,5000,14.0437,10
BubbleSort,PartiallySorted,5000,10.8607,10
SelectionSort,PartiallySorted,5000,10.7124,10
CombSort,Random,10000,1.1232,10
TournamentSort,Random,10000,0.8404,10
IntroSort,Random,10000,0.8354,10
BubbleSort,Sorted,10000,0.0054,10
TimSort,Random,10000,0.8565,10
InsertionSort,Sorted,10000,0.0157,10
BubbleSort,Random,5000,29.9272,10
BubbleSort,Reversed,5000,21.2693,10
QuickSort,Sorted,10000,0.2354,10
CocktailShakerSort,Sorted,10000,0.0079,10
MergeSort,Sorted,10000,1.0285,10
CombSort,Sorted,10000,0.1139,10
IntroSort,Sorted,10000,0.1700,10
HeapSort,Sorted,10000,0.7667,10
TimSort,Sorted,10000,0.3432,10
TournamentSort,Sorted,10000,0.7410,10
InsertionSort,Random,10000,11.5834,10
MergeSort,Reversed,10000,0.5777,10
HeapSort,Reversed,10000,0.7757,10
QuickSort,Reversed,10000,0.4440,10
CombSort,Reversed,10000,0.2272,10
TournamentSort,Reversed,10000,0.7160,10
IntroSort,Reversed,10000,0.4275,10
TimSort,Reversed,10000,0.5169,10
InsertionSort,Reversed,10000,21.4982,10
InsertionSort,PartiallySorted,10000,3.0768,10
MergeSort,PartiallySorted,10000,0.7558,10
HeapSort,PartiallySorted,10000,0.8405,10
SelectionSort,Random,10000,37.2150,10
QuickSort,PartiallySorted,10000,0.4925,10
CombSort,PartiallySorted,10000,0.5477,10
TournamentSort,PartiallySorted,10000,1.7678,10
IntroSort,PartiallySorted,10000,0.3470,10
TimSort,PartiallySorted,10000,0.5679,10
SelectionSort,Sorted,10000,36.5336,10
CocktailShakerSort,PartiallySorted,10000,11.1133,10
BubbleSort,Reversed,10000,41.8477,10
BubbleSort,Random,10000,55.9229,10
CocktailShakerSort,Reversed,10000,44.2084,10
MergeSort,Random,50000,6.4135,10
BubbleSort,PartiallySorted,10000,39.5907,10
HeapSort,Random,50000,5.9253,10
SelectionSort,Reversed,10000,54.1069,10
QuickSort,Random,50000,4.7757,10
CombSort,Random,50000,4.0052,10
IntroSort,Random,50000,3.3244,10
BubbleSort,Sorted,50000,0.0283,10
TournamentSort,Random,50000,5.4312,10
InsertionSort,Sorted,50000,0.0700,10
TimSort,Random,50000,6.6493,10
CocktailShakerSort,Random,10000,66.4633,10
SelectionSort,PartiallySorted,10000,40.1529,10
CocktailShakerSort,Sorted,50000,0.0365,10
QuickSort,Sorted,50000,1.2937,10
MergeSort,Sorted,50000,3.7769,10
CombSort,Sorted,50000,0.9859,10
IntroSort,Sorted,50000,0.9591,10
TimSort,Sorted,50000,1.7315,10
